Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes,
,,,,,Where to Stay in Clearwater Beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Clearwater-Beach-FL_Sandpearl-Resort-509bfdbf66edc84661018c53-Reviews,hipmunk.com/Independent-Hotels-in-Clearwater-Beach-FL_Shephards-Beach-Resort-50ed9483bb290e6e2700009e-Reviews,hipmunk.com/Independent-Hotels-in-Clearwater-FL_Magnuson-Hotel-Clearwater-Central-509bfe1166edc8466101c3da-Reviews,hipmunk.com/Independent-Hotels-in-Clearwater-Beach-FL_Beachview-Inn-509bfe2766edc8466101d519-Reviews,hipmunk.com/Independent-Hotels-in-Clearwater-Beach-FL_Gulf-Beach-Inn-509bff7466edc8466102c261-Reviews,,,bilkey,0.08,n/a
,,,,,Boise's Best Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Boise-ID_The-Boise-Hotel-509bff4266edc84661029cb3-Reviews,hipmunk.com/Independent-Hotels-in-Boise-ID_Hotel-43-509bfc5266edc84661006afb-Reviews,hipmunk.com/Independent-Hotels-in-Boise-ID_The-Riverside-Hotel-510acfd1a0a9945ff6000008-Reviews,hipmunk.com/Independent-Hotels-in-Boise-ID_The-Grove-Hotel-509bfe2d66edc8466101da3a-Reviews,hipmunk.com/Independent-Hotels-in-Boise-ID_Safari-Inn-Downtown-509bfed766edc846610250be-Reviews,,,bilkey,0.08,n/a
,,,,,Louisville's Best Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Louisville-KY_Fern-Valley-Hotel-Conference-Center-509bfec066edc84661023fb5-Reviews,hipmunk.com/Independent-Hotels-in-Louisville-KY_Galt-House-Hotel-509bfd7466edc846610151a1-Reviews,hipmunk.com/Independent-Hotels-in-Louisville-KY_The-Brown-Hotel-509bff3366edc846610296b2-Reviews,hipmunk.com/Independent-Hotels-in-Louisville-KY_21c-Museum-Hotel-Louisville-509bfe9366edc8466102220a-Reviews,hipmunk.com/Independent-Hotels-in-Louisville-KY_Breckinridge-Inn-509bfe7266edc846610209f3-Reviews,,,narzary,0.1,n/a
,,,,,Where to Stay in Detroit,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Detroit-MI_MotorCity-Casino-Hotel-509bfede66edc846610255ae-Reviews,hipmunk.com/Independent-Hotels-in-Detroit-MI_Greektown-Casino-Hotel-509bfe8e66edc84661021e2b-Reviews,hipmunk.com/Independent-Hotels-in-Detroit-MI_Inn-On-Ferry-Street-509bff0e66edc84661027a2e-Reviews,hipmunk.com/Independent-Hotels-in-Detroit-MI_Viking-Motel-Detroit-509bfcbc66edc8466100bdd1-Reviews,hipmunk.com/Independent-Hotels-in-Detroit-MI_MGM-Grand-Detroit-509c024966edc84661051780-Reviews,,,narzary,0.1,n/a
,,,,,California's Best Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Burlingame-CA_Vagabond-Inn-Executive-San-Francisco-Airport-509bfe7d66edc846610211ea-Reviews,hipmunk.com/Independent-Hotels-in-Calistoga-CA_Solage-Calistoga-509bfe2366edc8466101d18d-Reviews,hipmunk.com/Independent-Hotels-in-Cambria-CA_Cambria-Pines-Lodge-509bfdbf66edc84661018d0a-Reviews,hipmunk.com/Independent-Hotels-in-Campbell-CA_Carlyle-Hotel-509bfdfc66edc8466101b479-Reviews,hipmunk.com/Independent-Hotels-in-Carlsbad-CA_Carlsbad-By-The-Sea-Resort-509bfdc566edc84661019187-Reviews,,,bradbeer,0.25,n/a
,,,,,Where to Stay in Monterey,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Monterey-CA_Monterey-Plaza-Hotel-Spa-509bff1066edc84661027c94-Reviews,hipmunk.com/Independent-Hotels-in-Monterey-CA_Monterey-Surf-Inn-509bfc3b66edc84661005963-Reviews,hipmunk.com/Independent-Hotels-in-Monterey-CA_Portola-Hotel-Spa-at-Monterey-Bay-509bfe6566edc846610202ee-Reviews,hipmunk.com/Independent-Hotels-in-Monterey-CA_The-Monterey-Hotel-509bfe6966edc8466102066d-Reviews,hipmunk.com/Independent-Hotels-in-Monterey-CA_The-Stevenson-Monterey-Hotel-509c013a66edc84661044064-Reviews,,,bradbeer,0.25,n/a
,,,,,Florida's Best Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Miramar-Beach-FL_Sandestin-Golf-and-Beach-Resort-509c01e766edc8466104c7f3-Reviews,hipmunk.com/Independent-Hotels-in-Doral-FL_Extended-Stay-America-Miami-Airport-Doral-25th-St-509bfe9666edc846610224b7-Reviews,hipmunk.com/Independent-Hotels-in-Duck-Key-FL_Duck-Key-Vacation-Rentals-Hawks-Cay-Resort-509c013066edc8466104373d-Reviews,hipmunk.com/Independent-Hotels-in-Fort-Myers-FL_La-Quinta-Inn-Suites-Ft-Myers-Sanibel-Gateway-509bfdce66edc846610193c9-Reviews,hipmunk.com/Independent-Hotels-in-Fernandina-Beach-FL_Omni-Amelia-Island-Plantation-Resort-50ed9489bb290e6e27000130-Reviews,,,bradbeer,0.25,n/a
,,,,,The Best Independent Stays in Ocean City,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Ocean-City-MD_Sea-Bay-Hotel-5254f2897f2c6c127e000078-Reviews,hipmunk.com/Independent-Hotels-in-Ocean-City-MD_Seacrets-Hotel-509c004266edc84661036e6b-Reviews,hipmunk.com/Independent-Hotels-in-Ocean-City-MD_Tidelands-Caribbean-Hotel-and-Suites-5254f2657f2c6c127e000054-Reviews,hipmunk.com/Independent-Hotels-in-Ocean-City-MD_Crystal-Beach-Hotel-509bfd7066edc84661014eae-Reviews,hipmunk.com/Independent-Hotels-in-Ocean-City-MD_Dunes-Manor-Hotel-53134983c0852e74b4000048-Reviews,,,bradbeer,0.25,n/a
,,,,,Great Boutique Hotels Across New Jersey,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Jersey-City-NJ_The-Holland-Hotel-509bfbcd66edc8466100006b-Reviews,hipmunk.com/Independent-Hotels-in-East-Rutherford-NJ_Hilton-Meadowlands-509bff0666edc84661027567-Reviews,hipmunk.com/Independent-Hotels-in-Cherry-Hill-NJ_Feather-Nest-Inn-54c64cf2c0852e07f3000052-Reviews,hipmunk.com/Independent-Hotels-in-Cape-May-NJ_Congress-Hall-509bfea666edc84661022f1b-Reviews,hipmunk.com/Independent-Hotels-in-Absecon-NJ_Superlodge-Atlantic-CityAbsecon-509bfc5f66edc846610075cb-Reviews,,,bradbeer,0.25,n/a
,,,,,Santa Fe's Top Independent Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_Cities-Of-Gold-Casino-509bfe4f66edc8466101f418-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_The-Lodge-at-Santa-Fe-509bfdcc66edc8466101933f-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_El-Rey-Inn-509bfeef66edc846610261ca-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_Las-Palomas-509bff1366edc84661027ec5-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_Inn-of-the-Governors-509bfed766edc846610250d0-Reviews,,,bradbeer,0.25,n/a
,,,,,Jamaica's Best Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Jamaica-NY_Garden-Inn-Suites-509bfe2266edc8466101d12c-Reviews,hipmunk.com/Independent-Hotels-in-Jamaica-NY_Hilton-New-York-JFK-Airport-510b13ada0a99444dd00005e-Reviews,hipmunk.com/Independent-Hotels-in-Jamaica-NY_Jets-Motor-Inn-509bfcb466edc8466100ba7c-Reviews,hipmunk.com/Independent-Hotels-in-Jamaica-NY_Lexington-Inn-JFK-Airport-509bfe9766edc8466102260a-Reviews,hipmunk.com/Independent-Hotels-in-Jamaica-NY_Quality-Inn-Jamaica-AirTrain-509bfcd866edc8466100d3e2-Reviews,,,gibson,0.15,n/a
,,,,,The Top Independent Hotels in Texas,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Galveston-TX_Casa-Del-Mar-Beachfront-Suites-509bfd5366edc84661013825-Reviews,hipmunk.com/Independent-Hotels-in-Grapevine-TX_Gaylord-Texan-Resort-Convention-Center-509bfdd266edc846610196bf-Reviews,hipmunk.com/Independent-Hotels-in-Harlingen-TX_Texas-Inn-Harlingen-509bfd5666edc84661013971-Reviews,hipmunk.com/Independent-Hotels-in-Horseshoe-Bay-TX_Horseshoe-Bay-Resort-509bff0766edc84661027692-Reviews,hipmunk.com/Independent-Hotels-in-Irving-TX_DFW-Airport-Hotel-and-Conference-Center-509bfdd166edc846610195eb-Reviews,,,gibson,0.15,n/a
,,,,,Where to Stay in Yosemite,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Yosemite-National-Park-CA_The-Ahwahnee-5257f8f97f2c6c2dd90002f0-Reviews,hipmunk.com/Independent-Hotels-in-Yosemite-National-Park-CA_Yosemite-Lodge-at-the-Falls-509bffe466edc84661031d07-Reviews,hipmunk.com/Independent-Hotels-in-Yosemite-National-Park-CA_Curry-Village-509bfbd066edc846610003b8-Reviews,hipmunk.com/Independent-Hotels-in-Yosemite-National-Park-CA_Wawona-Hotel-509bfe8566edc8466102170e-Reviews,n/a,,,lowe,,n/a
,,,,,Jacksonville's Top Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Jacksonville-FL_Omni-Jacksonville-Hotel-509bfd7166edc84661014ffb-Reviews,hipmunk.com/Independent-Hotels-in-Jacksonville-FL_Wingate-by-Wyndham-Jacksonville-South-509bfdc366edc84661018f41-Reviews,hipmunk.com/Independent-Hotels-in-Jacksonville-FL_Hampton-Inn-Jacksonville-SouthI-95-at-JTB-55102ac2c0852e1fba000155-Reviews,hipmunk.com/Independent-Hotels-in-Jacksonville-FL_Riverdale-Inn-509bff5066edc8466102a593-Reviews,hipmunk.com/Independent-Hotels-in-Jacksonville-FL_Scottish-Inn-Jacksonville-Downtown-509bff0d66edc84661027a0e-Reviews,,,lowe,,n/a
,,,,,Where to Stay in Charlotte,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Charlotte-NC_The-Morehead-Inn-50ed43babb290e535f00000c-Reviews,hipmunk.com/Independent-Hotels-in-Charlotte-NC_Rodeway-Inn-509bfd8266edc84661015bc8-Reviews,hipmunk.com/Independent-Hotels-in-Charlotte-NC_Relax-Inn-Charlotte-509bfe0566edc8466101bb6b-Reviews,hipmunk.com/Independent-Hotels-in-Charlotte-NC_Omni-Charlotte-Hotel-509bfdd066edc84661019583-Reviews,hipmunk.com/Independent-Hotels-in-Charlotte-NC_The-Dunhill-Hotel-509bff4466edc84661029e8a-Reviews,,,walton,0.2,n/a
,,,,,Virginia Beach's Top Boutique Stays,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Virginia-Beach-VA_Grand-Ocean-Hotel-509bfd4666edc84661012c5c-Reviews,hipmunk.com/Independent-Hotels-in-Virginia-Beach-VA_Marjac-Suites-509bff3366edc84661029724-Reviews,hipmunk.com/Independent-Hotels-in-Virginia-Beach-VA_The-Cavalier-Hotel-509bff0666edc84661027593-Reviews,hipmunk.com/Independent-Hotels-in-Virginia-Beach-VA_Turtle-Cay-Resort-5122b90da0a994081a0000a0-Reviews,hipmunk.com/Independent-Hotels-in-Virginia-Beach-VA_Virginia-Beach-Resort-Hotel-and-Conference-Center-509bfd7266edc84661015039-Reviews,,,walton,0.2,n/a
,,,,,Cincinnati's Best Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Cleveland-OH_The-Glidden-House-509bfe7d66edc846610211a3-Reviews,hipmunk.com/Independent-Hotels-in-Cleveland-OH_University-Hotel-Suites-509c00fb66edc84661040bf2-Reviews,hipmunk.com/Independent-Hotels-in-Cincinnati-OH_The-Garfield-Suites-Hotel-509bfe1f66edc8466101ce4c-Reviews,hipmunk.com/Independent-Hotels-in-Cincinnati-OH_21c-Museum-Hotel-Cincinnati-5122602aa0a99447880000e2-Reviews,hipmunk.com/Independent-Hotels-in-Cincinnati-OH_Cincinnatian-Hotel-509bfe8966edc84661021a56-Reviews,,,shetler,0.13,n/a
,,,,,Where to Stay in Eugene ,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Eugene-OR_Valley-River-Inn-509bff1b66edc8466102841d-Reviews,hipmunk.com/Independent-Hotels-in-Eugene-OR_Inn-at-the-5th-509bff8a66edc8466102d3ce-Reviews,hipmunk.com/Independent-Hotels-in-Eugene-OR_The-Campbell-House-A-City-Inn-50ed1dedbb290e08f900001a-Reviews,hipmunk.com/Independent-Hotels-in-Eugene-OR_Excelsior-Inn-525502b37f2c6c32b500009b-Reviews,hipmunk.com/Independent-Hotels-in-Eugene-OR_The-Oval-Door-525502927f2c6c32b5000079-Reviews,,,shetler,0.13,n/a
,,,,,Carlsbad's Top Independent Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Carlsbad-CA_Carlsbad-By-The-Sea-Resort-509bfdc566edc84661019187-Reviews,hipmunk.com/Independent-Hotels-in-Carlsbad-CA_Grand-Pacific-Palisades-Resort-Hotel-509bfeea66edc84661025fd0-Reviews,hipmunk.com/Independent-Hotels-in-Carlsbad-CA_Cape-Rey-Carlsbad-A-Hilton-Resort-509bfc2066edc846610042e1-Reviews,hipmunk.com/Independent-Hotels-in-Carlsbad-CA_Omni-La-Costa-Resort-Spa-509bff1466edc84661028020-Reviews,n/a,,,stephens,0.12,n/a
,,,,,Where to Stay in South Lake Tahoe,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-South-Lake-Tahoe-CA_Aston-Lakeland-Village-Beach-Mountain-Resort-509bfe2066edc8466101cf07-Reviews,hipmunk.com/Independent-Hotels-in-South-Lake-Tahoe-CA_The-Beach-Retreat-Lodge-at-Tahoe-509bfdfc66edc8466101b490-Reviews,hipmunk.com/Independent-Hotels-in-South-Lake-Tahoe-CA_Big-Pines-Mountain-House-509bfe1566edc8466101c70b-Reviews,hipmunk.com/Independent-Hotels-in-South-Lake-Tahoe-CA_Forest-Suites-Resort-at-Heavenly-Village-509bfdc066edc84661018d97-Reviews,hipmunk.com/Independent-Hotels-in-South-Lake-Tahoe-CA_Secrets-Inn-Lake-Tahoe-509bfda166edc846610174d5-Reviews,,,stephens,0.12,n/a
,,,,,Aspen's Best Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Aspen-CO_Limelight-Hotel-Aspen-52557c7d7f2c6c041300026b-Reviews,hipmunk.com/Independent-Hotels-in-Aspen-CO_The-Little-Nell-512266aca0a9945af7000128-Reviews,hipmunk.com/Independent-Hotels-in-Aspen-CO_The-Innsbruck-Luxury-Condominiums-Aspen-by-Bluegreen-509bff2466edc84661028c9d-Reviews,hipmunk.com/Independent-Hotels-in-Aspen-CO_Aspen-Mountain-Lodge-509bfc6f66edc84661008432-Reviews,hipmunk.com/Independent-Hotels-in-Aspen-CO_St-Moritz-Lodge-Condominiums-509bfcda66edc8466100d51d-Reviews,,,beth,0.1,n/a
,,,,,The Top Independent Hotels in Colorado Springs,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Colorado-Springs-CO_Cheyenne-Mountain-Resort-509bfdc266edc84661018edf-Reviews,hipmunk.com/Independent-Hotels-in-Colorado-Springs-CO_The-Academy-Hotel-Colorado-Springs-509bff1c66edc846610284e8-Reviews,hipmunk.com/Independent-Hotels-in-Colorado-Springs-CO_The-Broadmoor-509bfe8566edc84661021772-Reviews,hipmunk.com/Independent-Hotels-in-Colorado-Springs-CO_Garden-of-the-Gods-Club-and-Resort-509bfeb566edc84661023823-Reviews,hipmunk.com/Independent-Hotels-in-Colorado-Springs-CO_Spurs-n-Lace-Inn-509bfeff66edc84661026f5c-Reviews,,,beth,0.1,n/a
,,,,,Where to Stay in Daytona Beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Hilton-Daytona-Beach-Oceanfront-Resort-525714457f2c6c19c4000892-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Lexington-Inn-Suites-Daytona-Beach-50ed9481bb290e6e27000074-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_El-Caribe-Resort-Conference-Center-509bfed766edc846610250b9-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Plaza-Resort-Spa-509bfdbf66edc84661018c91-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_San-Marina-Motel-509bfed566edc84661024f7d-Reviews,,,santiago,0.15,n/a
,,,,,Minneapolis's Best Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Minneapolis-MN_W-Minneapolis-The-Foshay-509bfdd366edc8466101979e-Reviews,hipmunk.com/Independent-Hotels-in-Minneapolis-MN_Holiday-Inn-Express-Hotel-Suites-Downtown-Minneapolis-509c00e666edc8466103fe56-Reviews,hipmunk.com/Independent-Hotels-in-Minneapolis-MN_Loews-Minneapolis-Hotel-509bfdc766edc846610192a4-Reviews,hipmunk.com/Independent-Hotels-in-Minneapolis-MN_Millennium-Hotel-Minneapolis-509bfdce66edc84661019480-Reviews,hipmunk.com/Independent-Hotels-in-Minneapolis-MN_Snelling-Motor-Inn-5254f84d7f2c6c79fa0000a4-Reviews,,,santiago,0.15,n/a
,,,,,Santa Fe's Best Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_Garretts-Desert-Inn-509bfed566edc84661024f9c-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_Hotel-Chimayo-de-Santa-Fe-509bff3466edc8466102977e-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_Hotel-St-Francis-509bfdc366edc84661018f3e-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_Inn-and-Spa-at-Loretto-Destination-Hotels-Resorts-509bff4a66edc8466102a39a-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Fe-NM_Inn-at-Santa-Fe-509bfbf366edc84661001f44-Reviews,,,robertson,0.12,n/a
,,,,,Where to Stay in Henderson,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Henderson-NV_Fiesta-Henderson-Hotel-and-Casino-509bfdc666edc846610191c6-Reviews,hipmunk.com/Independent-Hotels-in-Henderson-NV_The-M-Resort-Spa-Casino-509bfdc366edc84661018f5f-Reviews,hipmunk.com/Independent-Hotels-in-Henderson-NV_Sunset-Station-Hotel-Casino-509bfd7166edc84661015005-Reviews,hipmunk.com/Independent-Hotels-in-Henderson-NV_Green-Valley-Ranch-Resort-and-Spa-509bfdcf66edc846610194b4-Reviews,hipmunk.com/Independent-Hotels-in-Henderson-NV_Hilton-Lake-Las-Vegas-Resort-and-Spa-509bfdc566edc84661019156-Reviews,,,robertson,0.12,n/a
